key,en,ko
hero.title.part1,Master Your,포트폴리오
hero.title.part2,Portfolio Risk,리스크를 정복하세요
hero.badge,New: Advanced Beta Hedging,새로운 기능: 고급 베타 헤징
hero.description,"Harness the power of modern portfolio theory with a beautiful glassmorphic interface. Calculate efficient frontiers, optimize allocations, and hedge market beta in seconds.","현대 포트폴리오 이론으로 포트폴리오 리스크를 관리하세요. 효율적 투자선을 계산하고, 자산 배분을 최적화하며, 시장 베타를 몇 초 만에 헤징할 수 있습니다."
hero.cta.start,Start Analyzing,분석 시작하기
hero.cta.library,View Library,라이브러리 보기
hero.trust.instant,Instant Analysis,즉각적인 분석
hero.trust.local,Local Computation,로컬 연산
common.language,English,한국어
nav.analyze,Analyze,분석
nav.portfolios,Portfolios,포트폴리오
nav.launch,Launch,시작
features.title.intelligent,Intelligent,스마트한
features.title.features,Features,기능
features.description,Everything you need to become a smarter investor,더 현명한 투자자가 되기 위해 필요한 모든 것
features.card1.title,Efficient Frontier,효율적 투자선
features.card1.desc,"Discover optimal portfolio allocations using advanced quadratic programming and Monte Carlo sampling.","고급 2차 계획법과 몬테카를로 시뮬레이션을 사용하여 최적의 포트폴리오 배분을 찾아보세요."
features.card2.title,Beta Hedging,베타 헤징
features.card2.desc,"Calculate portfolio beta and size hedging positions in SPY or futures for market-neutral exposure.","포트폴리오 베타를 계산하고 시장 중립적 노출을 위해 SPY 또는 선물의 헤징 포지션 규모를 산정합니다."
features.card3.title,Multiple Hedging Methods,다양한 헤징 방법
features.card3.desc,"Hedge your portfolio with SPY or ES futures. Calculate optimal position sizing for any target beta level and market condition.","SPY 또는 ES 선물로 포트폴리오를 헤징하세요. 모든 베타 수준과 시장 상황에 대한 최적 포지션 규모를 계산합니다."
features.card4.title,Real-time Analysis,실시간 분석
features.card4.desc,"Get instant results with lightning-fast calculations powered by cutting-edge algorithms.","최첨단 알고리즘을 통한 번개처럼 빠른 계산으로 즉각적인 결과를 얻으세요."
features.card5.title,Portfolio Management,포트폴리오 관리
features.card5.desc,"Store, compare, and manage multiple portfolios with powerful organization and export tools.","강력한 정리 및 내보내기 도구로 여러 포트폴리오를 저장, 비교 및 관리하세요."
features.card6.title,Advanced Analytics,고급 분석
features.card6.desc,"Deep-dive into Sharpe ratios, volatility, correlations, and comprehensive portfolio statistics.","샤프 비율, 변동성, 상관관계 및 종합적인 포트폴리오 통계에 대해 깊이 알아보세요."
howitworks.title.how,How It,어떻게
howitworks.title.works,Works,동작하나요
howitworks.step1.title,Add Your Stocks,주식 추가
howitworks.step1.desc,"Simply enter stock tickers you want to analyze. Our system fetches historical data from Yahoo Finance.","분석하고 싶은 주식 티커를 입력하기만 하세요. 시스템이 야후 파이낸스에서 과거 데이터를 가져옵니다."
howitworks.step2.title,Run Analysis,분석 실행
howitworks.step2.desc,"Our algorithms compute the efficient frontier and identify optimal portfolio weights in real-time.","알고리즘이 실시간으로 효율적 투자선을 계산하고 최적의 포트폴리오 비중을 식별합니다."
howitworks.step3.title,Get Insights,인사이트 확보
howitworks.step3.desc,"View optimal allocations, calculate hedging positions, and save your analysis for future reference.","최적 배분을 확인하고, 헤징 포지션을 계산하며, 나중을 위해 분석을 저장하세요."
cta.ready,Ready to,지금 바로
cta.optimize,Optimize?,포트폴리오를 최적화하세요
cta.description,"Join thousands of investors using Glassbox to make smarter portfolio decisions.","Glassbox를 사용하여 더 스마트한 포트폴리오 결정을 내리는 수천 명의 투자자들과 함께하세요."
cta.launch,Launch App Now,앱 지금 실행하기
cta.learn,Learn More,더 알아보기
footer.description,Smart portfolio optimization for modern investors,현대 투자자를 위한 스마트한 포트폴리오 최적화
footer.docs,Docs,문서
footer.github,GitHub,깃허브
footer.contact,Contact,문의
portfolio.builder.step,Step 1: Build Portfolio,1단계: 포트폴리오 빌드
portfolio.builder.title.part1,Build Your,포트폴리오를
portfolio.builder.title.part2,Investment Portfolio,구성하세요
portfolio.builder.description,Mix and match assets to create your perfect portfolio.,자산을 조합하여 완벽한 포트폴리오를 구성하세요.
portfolio.builder.error.title,Portfolio Build Failed,포트폴리오 빌드 실패
portfolio.builder.error.description,Something went wrong while loading the portfolio builder. Please try again.,포트폴리오 빌더를 로드하는 중 오류가 발생했습니다. 다시 시도해주세요.
portfolio.builder.analysis.failed,Analysis Failed,분석 실패
portfolio.builder.analysis.dismiss,Dismiss,닫기
portfolio.builder.search.label,Add Stock Ticker,주식 티커 추가
portfolio.builder.search.placeholder,Search ticker (e.g. AAPL)...,티커 검색 (예: AAPL)...
portfolio.builder.search.add,Add,추가
portfolio.builder.templates.title,Start with a Template,템플릿으로 시작
portfolio.builder.assets.label,Your Assets,보유 자산
portfolio.builder.assets.clear,Clear All,모두 삭제
portfolio.builder.preview.title,Live Preview,라이브 미리보기
portfolio.builder.preview.total,Total Assets,총 자산
portfolio.builder.preview.value,Est. Value,예상 가치
portfolio.builder.analysis.settings.label,Analysis Date Range,분석 기간
portfolio.builder.analysis.settings.tooltip,"This date range determines the historical period used for portfolio analysis. Longer periods provide more stable estimates.",이 날짜 범위는 포트폴리오 분석에 사용되는 과거 기간을 결정합니다. 긴 기간일수록 더 안정적인 추정치를 제공합니다.
portfolio.builder.analysis.settings.start-date,Analysis Start Date,분석 시작일
portfolio.builder.analysis.settings.end-date,Analysis End Date,분석 종료일
portfolio.builder.analysis.empty,Add at least one asset to enable analysis.,분석을 활성화하려면 최소 하나의 자산을 추가하세요.
portfolio.builder.analysis.dates-required,Both start and end dates are required.,시작일과 종료일을 모두 설정해야 합니다.
portfolio.builder.analyze.button,Analyze Portfolio,포트폴리오 분석
portfolio.builder.analyze.analyzing,Analyzing...,분석 중...
portfolio.builder.today-warning.title,End Date is Today,종료일이 오늘입니다
portfolio.builder.today-warning.message,"Market data may be incomplete if markets are still open. US markets close at 4:00 PM EST. Data may not be fully updated. For most accurate results, use yesterday's date. Do you want to proceed anyway?","시장이 아직 열려 있는 경우 시장 데이터가 불완전할 수 있습니다. 미국 시장은 오후 4시(EST)에 마감됩니다. 데이터가 완전히 업데이트되지 않았을 수 있습니다. 가장 정확한 결과를 얻으려면 어제 날짜를 사용하세요. 그래도 진행하시겠습니까?"
portfolio.builder.today-warning.confirm,Proceed Anyway,그래도 진행
portfolio.builder.validation.no-positive-quantity,At least one asset must have a positive quantity,최소 하나의 자산이 양수 수량을 가져야 합니다
portfolio.builder.validation.start-before-end,Start date must be before end date,시작일은 종료일보다 전에 있어야 합니다
portfolio.builder.validation.end-not-future,End date cannot be in the future,종료일은 미래일 수 없습니다
portfolio.builder.validation.start-not-future,Start date cannot be in the future,시작일은 미래일 수 없습니다
portfolio.builder.validation.date-range-minimum,Date range must be at least 45 days to ensure sufficient data (minimum 30 trading days required),데이터가 충분하도록 날짜 범위는 최소 45일이어야 합니다 (최소 30 거래일 필요)
portfolio.builder.summary.label,Portfolio Summary,포트폴리오 요약
portfolio.builder.summary.assets,Assets,자산
portfolio.analysis.optimized-allocation-desc,"Optimized allocation for {{numAssets}} assets based on historical data.","히스토리컬 데이터를 기반으로 {{numAssets}}개 자산에 대한 최적화된 배분."
portfolio.analysis.viewing-snapshot,"Viewing saved snapshot: {{portfolioName}}","저장된 스냅샷 보기: {{portfolioName}}"
portfolio.builder.tip.title,Pro Tip:,팁:
portfolio.builder.tip.description,"Try to include a mix of assets (Stocks, Bonds, Crypto) to see how diversification affects your efficient frontier.","다양한 자산 (주식, 채권, 암호화폐)을 포함하여 분산 투자가 효율적 투자선에 미치는 영향을 확인하세요.",
portfolio.library.label,Library,라이브러리
portfolio.library.title.part1,Your,당신의
portfolio.library.title.part2,Portfolios,포트폴리오
portfolio.library.description,Manage your saved strategies and track their theoretical performance over time.,저장된 전략을 관리하고 시간에 따른 이론적 성과를 추적하세요.
portfolio.library.search,Search portfolios...,포트폴리오 검색...
portfolio.library.empty.message,Your library is empty,라이브러리가 비어있습니다
portfolio.library.empty.create,Start creating your first portfolio,첫 포트폴리오를 만들어보세요
portfolio.library.search.empty,No portfolios found,포트폴리오를 찾을 수 없습니다
portfolio.library.search.no-results,No results matching,일치하는 결과 없음
portfolio.library.search.try-again,Try a different term.,다른 검색어를 시도하세요.
portfolio.library.error.title,Portfolio Load Failed,포트폴리오 로드 실패
portfolio.library.error.description,We couldn't load your portfolio library. Please try again.,포트폴리오 라이브러리를 로드할 수 없습니다. 다시 시도해주세요.
common.button.back-home,Back to Home,홈으로 돌아가기
common.button.retry,Retry,다시 시도
common.button.cancel,Cancel,취소
common.more,more,더
common.less,less,덜
analysis.tabs.frontier,Efficient Frontier,효율적 투자선
analysis.tabs.hedging,Beta Hedging,베타 헤징
analysis.title.part1,Portfolio Analysis,포트폴리오
analysis.title.part2,Results,분석 결과
analysis.export.csv,Export as CSV,CSV로 내보내기
analysis.export.pdf,Export as PDF,PDF로 내보내기
analysis.button.re-analyze,Re-analyze,다시 분석
analysis.button.save,Save Portfolio,포트폴리오 저장
analysis.button.analyze,Analyze,분석
portfolio.card.new,New Portfolio,새 포트폴리오
portfolio.card.new-description,Start a fresh analysis,새로운 분석 시작
portfolio.save-modal.title,Save Portfolio,포트폴리오 저장
portfolio.save-modal.description,Give your portfolio a name to save it to your library.,포트폴리오에 이름을 지정하여 라이브러리에 저장하세요.
portfolio.save-modal.label,Portfolio Name,포트폴리오 이름
portfolio.save-modal.placeholder,"e.g., My Tech Portfolio","예: 내 기술 포트폴리오"
portfolio.save-modal.error-short,Name must be at least 3 characters,이름은 최소 3자 이상이어야 합니다
portfolio.save-modal.error-long,Name must be 50 characters or less,이름은 50자 이하여야 합니다
portfolio.save-modal.error-duplicate,A portfolio with this name already exists,이 이름의 포트폴리오가 이미 존재합니다
portfolio.save-modal.success,Ready to save,저장할 준비 완료
portfolio.save-modal.cancel,Cancel,취소
portfolio.save-modal.loading,Loading...,로드 중...
portfolio.save-modal.save,Save,저장
portfolio.template.assets,Assets,자산
portfolio.template.classic-60-40.name,The Classic 60/40,클래식 60/40
portfolio.template.classic-60-40.description,"60% Stocks 40% Bonds. A time-tested balance.","60% 주식, 40% 채권. 검증된 균형 배분."
portfolio.template.big-tech.name,Big Tech Growth,빅 테크 성장
portfolio.template.big-tech.description,High exposure to major US technology companies.,미국 주요 기술 기업에 높은 노출.
portfolio.template.all-weather.name,All Weather,올 웨더
portfolio.template.all-weather.description,Ray Dalio's strategy for any economic season.,모든 경제 시즌을 위한 레이 달리오의 전략.
portfolio.template.crypto-heavy.name,Crypto Future,암호화폐 미래
portfolio.template.crypto-heavy.description,Aggressive allocation to digital assets and miners.,디지털 자산 및 채굴자에 공격적 배분.
portfolio.quick-add.title,Popular Assets,인기 자산
portfolio.quick-add.treasury-bonds,Treasury Bonds,국채
portfolio.quick-add.bitcoin,Bitcoin,비트코인
portfolio.quick-add.gold,Gold,금
portfolio.quick-add.sp500,S&P 500,S&P 500
portfolio.quick-add.tech,Tech,기술
portfolio.quick-add.energy,Energy,에너지
portfolio.card.composition,Composition,구성
portfolio.card.assets,Assets,자산
portfolio.card.start-date,Start,시작
portfolio.card.sharpe,Sharpe,샤프
portfolio.card.volatility,Vol,변동성
portfolio.card.open-analysis,Open Analysis,분석 보기
portfolio.asset.label,Asset,자산
portfolio.asset.units,Units,개
analysis.loading,Loading analysis...,분석 중...
analysis.success.title,Portfolio Saved!,포트폴리오 저장됨!
analysis.success.saved,Portfolio updated successfully,포트폴리오가 성공적으로 업데이트됨
analysis.success.redirecting,Redirecting to your library...,라이브러리로 이동 중...
analysis.error.title,Error,오류
analysis.error.update-failed,Failed to update portfolio. Please try again.,포트폴리오 업데이트에 실패했습니다. 다시 시도해주세요.
analysis.error.save-failed,Failed to save portfolio. Please try again.,포트폴리오 저장에 실패했습니다. 다시 시도해주세요.
analysis.button.re-analyze,Re-analyze,다시 분석
analysis.button.re-analyzing,Re-analyzing...,다시 분석 중...
analysis.button.saving,Saving...,저장 중...
analysis.button.export,Export,내보내기
analysis.button.export-csv,Export as CSV,CSV로 내보내기
analysis.button.export-pdf,Export as PDF,PDF로 내보내기
analysis.button.save,Save,저장
analysis.button.save-portfolio,Save portfolio (Ctrl+S),포트폴리오 저장 (Ctrl+S)
analysis.button.update,Update,업데이트
analysis.button.saved,Saved,저장됨
analysis.tab.frontier,Efficient Frontier,효율적 투자선
analysis.tab.hedging,Beta Hedging,베타 헤징
analysis.metrics.return,Expected Return,예상 수익률
analysis.metrics.return-sub,Annualized,연간화
analysis.metrics.sharpe,Sharpe Ratio,샤프 비율
analysis.metrics.sharpe-sub,Risk-Adjusted Return,위험조정수익률
analysis.metrics.volatility,Volatility,변동성
analysis.metrics.volatility-sub,Min Var,최소분산
analysis.metrics.beta,Portfolio Beta,포트폴리오 베타
analysis.metrics.beta-sub,Market Correlation,시장상관관계
analysis.section.gmv-portfolio,Global Minimum Variance Portfolio,전역 최소분산 포트폴리오
analysis.section.max-sharpe,Maximum Sharpe Ratio Portfolio,최대 샤프 비율 포트폴리오
analysis.section.portfolio-weights,Portfolio Weights,포트폴리오 비중
analysis.section.risk-free-rate,Risk-Free Rate,무위험 수익률
analysis.section.analysis-date,Analysis Date,분석 날짜
analysis.section.sharpe-quality,Sharpe Ratio Quality,샤프 비율 품질
analysis.section.quality.excellent,Excellent,우수
analysis.section.quality.good,Good,좋음
analysis.section.quality.fair,Fair,보통
analysis.hedging.spy.title,SPY ETF,SPY ETF
analysis.hedging.spy.subtitle,Direct Equity Hedge,직접 주식 헤징
analysis.hedging.spy.badge,Retail Friendly,소매 친화적
analysis.hedging.spy.position,Short Position,숏 포지션
analysis.hedging.spy.notional,Notional Value,명목가치
analysis.hedging.spy.shares,shares,주
analysis.hedging.spy.why,Why choose this?,이것을 선택해야 하는 이유?
analysis.hedging.spy.reason,"Best for accounts under $100k. No expiration dates to manage, simply short the ETF to neutralize delta.","$100k 이하 계정에 최고. 만기일을 관리할 필요가 없으며, ETF를 간단히 숏으로 쌍하여 델타를 중립화합니다."
analysis.hedging.es.title,ES Futures,ES 선물
analysis.hedging.es.subtitle,E-mini S&P 500,이미니 S&P 500
analysis.hedging.es.badge,Capital Efficient,자본 효율적
analysis.hedging.es.contracts,Short Contracts,숏 계약
analysis.hedging.es.notional,Notional Value,명목가치
analysis.hedging.es.contracts-label,contracts,계약
analysis.hedging.es.why,Why choose this?,이것을 선택해야 하는 이유?
analysis.hedging.es.reason,"Requires significantly less buying power (margin). Ideal for larger portfolios to free up capital.","훨씬 적은 구매력(증거금)이 필요합니다. 더 큰 포트폴리오의 경우 자본을 확보하기에 이상적입니다."
analysis.stress-test.title,Stress Test Simulator,스트레스 테스트 시뮬레이터
analysis.stress-test.description,"Projected P&L impact based on your Beta of",베타 기준 예상 손익 영향
analysis.stress-test.flat-market,Flat Market,평탄 시장
analysis.stress-test.market-up,Market +5%,시장 +5%
analysis.stress-test.market-down,Market -5%,시장 -5%
analysis.stress-test.unhedged,Unhedged Portfolio,헤징되지 않은 포트폴리오
analysis.stress-test.hedged,Hedged Portfolio,헤징된 포트폴리오
analysis.simulator.legend.profit-unhedged,Profit (Unhedged),이익 (헤징되지 않음)
analysis.simulator.legend.loss-unhedged,Loss (Unhedged),손실 (헤징되지 않음)
analysis.simulator.legend.hedged-neutral,Hedged (Neutral),헤징됨 (중립)
analysis.reanalyze.title,Re-analyze Portfolio?,포트폴리오를 다시 분석할까요?
analysis.reanalyze.message,This will fetch the latest market data and update your analysis. Your current snapshot will be replaced with new calculations based on real-time prices.,최신 시장 데이터를 가져오고 분석을 업데이트합니다. 현재 스냅샷은 실시간 가격에 기반한 새로운 계산으로 대체됩니다.
analysis.reanalyze.confirm,Re-analyze,다시 분석
analysis.title,Portfolio Analysis,포트폴리오 분석
analysis.status.complete,Analysis Complete,분석 완료
analysis.button.no-changes,No changes to save,저장할 변경사항 없음
analysis.chart.risk-return,Risk vs. Return Profile,위험 vs. 수익률 프로필
analysis.chart.optimal-line,Optimal Line,최적선
analysis.chart.max-sharpe-label,Max Sharpe,최대 샤프
analysis.section.optimal-allocation,Optimal Allocation,최적 배분
analysis.section.optimal-description,Suggested weights to maximize Sharpe ratio (Risk-adjusted return).,샤프 비율을 최대화하기 위한 제안된 가중치 (위험조정수익률).
analysis.section.risk-profile,Risk Profile,위험 프로필
analysis.section.risk-free-rate-label,Risk-Free Rate Used,사용된 무위험 수익률
analysis.section.analysis-start-date,Analysis Start Date,분석 시작 날짜
analysis.section.analysis-end-date,Analysis End Date,분석 종료 날짜
analysis.section.sharpe-rating,Sharpe Rating,샤프 등급
analysis.hedging.how-it-works,How this works,작동 원리
analysis.hedging.how-it-works.description,"Since your portfolio has a Beta of {{portfolioBeta}}, it is theoretically {{volatilityPercentage}}% {{volatilityDirection}} volatile than the market. To make your portfolio ""Market Neutral"" (Beta ≈ 0), you need to short sell an equivalent amount of market exposure. This protects you from systematic market crashes while allowing you to profit from the individual performance (Alpha) of your chosen stocks.","포트폴리오의 베타가 {{portfolioBeta}}이므로, 이론적으로 시장보다 {{volatilityPercentage}}% 더 {{volatilityDirection}} 변동성이 있습니다. 포트폴리오를 ""시장 중립적""(베타 ≈ 0)으로 만들려면, 시장 노출량과 동일한 금액을 공매도해야 합니다. 이는 체계적인 시장 붕괴로부터 보호하면서, 선택한 주식의 개별 성과(알파)로부터 이익을 얻을 수 있게 해줍니다."
analysis.chart.risk,Risk (Volatility),위험 (변동성)
analysis.chart.return,Expected Return,예상 수익률
analysis.chart.your-portfolio,Your Portfolio,당신의 포트폴리오
analysis.chart.all-assets,All Assets,모든 자산
analysis.graph.tooltip.random-portfolio,Random Portfolio,임의 포트폴리오
analysis.graph.tooltip.return,Return,수익률
analysis.graph.tooltip.risk,Risk (Vol),위험 (변동성)
analysis.graph.tooltip.sharpe,Sharpe,샤프
analysis.chart.risk-volatility-label,Risk (Volatility),위험 (변동성)
analysis.chart.expected-return-label,Expected Return,예상 수익률
portfolio.builder.search.no-results,No results found for "{{query}}","{{query}}"에 대한 결과가 없습니다
portfolio.builder.search.try-different,Try a different ticker or company name,다른 티커나 회사명을 시도해보세요
analysis.error.calculation-title,Calculation Error,계산 오류
analysis.error.calculation-message,We encountered an error while calculating your portfolio analysis. Please try again.,포트폴리오 분석을 계산하는 중 오류가 발생했습니다. 다시 시도해주세요.
analysis.error.back-to-builder,Back to Builder,빌더로 돌아가기
common.button.retry,Retry,다시 시도
common.loading,Loading...,로딩 중...
portfolio.delete.confirm-title,Delete Portfolio,포트폴리오 삭제
portfolio.delete.confirm-message,"Are you sure you want to delete this portfolio? This action cannot be undone.","이 포트폴리오를 삭제하시겠습니까? 이 작업은 취소할 수 없습니다."
portfolio.delete.confirm-button,Delete,삭제
portfolio.delete.failed,Failed to delete portfolio. Please try again.,포트폴리오 삭제에 실패했습니다. 다시 시도해주세요.
common.button.confirm,Confirm,확인
common.button.back,Back,뒤로
theme.system,System,시스템
theme.light,Light,라이트
theme.dark,Dark,다크
theme.current-label,Current: {{theme}}. Click to cycle through themes.,현재: {{theme}}. 클릭하여 테마를 변경하세요.
language.switch-to-korean,Switch to Korean,한국어로 전환
language.switch-to-english,Switch to English,영어로 전환
timestamp.fresh-analysis,Fresh Analysis,최신 분석
timestamp.updated,Updated,업데이트됨
portfolio.chart.empty,Empty,비어있음
portfolio.chart.qty,Qty:,수량:
portfolio.chart.assets,Assets,자산
landing.error.title,Page Load Failed,페이지 로드 실패
landing.error.message,Something went wrong while loading the home page. Please try again.,홈페이지를 로드하는 중 오류가 발생했습니다. 다시 시도해주세요.
landing.error.reload,Reload Page,페이지 새로고침
auth.login.title,Welcome Back,환영합니다
auth.login.subtitle,Sign in to manage your portfolios,포트폴리오를 관리하려면 로그인하세요
auth.login.email,Email,이메일
auth.login.password,Password,비밀번호
auth.login.forgot-password,Forgot password?,비밀번호를 잊으셨나요?
auth.login.submit,Sign In,로그인
auth.login.divider,Or continue with,또는 다음으로 계속
auth.login.google,Continue with Google,Google로 계속하기
auth.login.no-account,Don't have an account?,계정이 없으신가요?
auth.login.signup-link,Sign up,회원가입
auth.validation.email-required,Email is required,이메일은 필수입니다
auth.validation.email-invalid,Invalid email address,유효하지 않은 이메일 주소입니다
auth.validation.password-required,Password is required,비밀번호는 필수입니다
auth.login.error.failed,Failed to login. Please try again.,로그인에 실패했습니다. 다시 시도해주세요.
auth.signup.title,Create Account,계정 만들기
auth.signup.subtitle,Join Glassbox to optimize your portfolio,Glassbox에 가입하여 포트폴리오를 최적화하세요
auth.signup.fullname,Full Name,이름
auth.signup.submit,Create Account,계정 만들기
auth.signup.divider,Or sign up with,또는 다음으로 가입
auth.signup.google,Sign up with Google,Google로 가입하기
auth.signup.has-account,Already have an account?,이미 계정이 있으신가요?
auth.signup.signin-link,Sign in,로그인
auth.signup.validation.name-required,Name is required,이름은 필수입니다
auth.signup.validation.name-min-length,Name must be at least 2 characters,이름은 최소 2자 이상이어야 합니다
auth.signup.validation.password-min-length,Password must be at least 8 characters,비밀번호는 최소 8자 이상이어야 합니다
auth.signup.validation.password-pattern,"Password must contain uppercase, lowercase, and number","비밀번호는 대문자, 소문자, 숫자를 포함해야 합니다"
auth.signup.validation.password-hint,"Must be 8+ characters with uppercase, lowercase, and number","8자 이상이며 대문자, 소문자, 숫자를 포함해야 합니다"
auth.signup.error.failed,Failed to create account. Please try again.,계정 생성에 실패했습니다. 다시 시도해주세요.
auth.reset.title,Reset Password,비밀번호 재설정
auth.reset.subtitle,Enter your email to receive reset instructions,비밀번호 재설정 안내를 받으려면 이메일을 입력하세요
auth.reset.submit,Send Reset Link,재설정 링크 보내기
auth.reset.success-message,"If an account exists for that email, we have sent password reset instructions.","해당 이메일로 계정이 존재하면 비밀번호 재설정 안내를 보냈습니다."
auth.reset.check-email,Please check your email inbox and spam folder.,이메일 수신함과 스팸함을 확인해주세요.
auth.reset.back-to-login,Back to Sign In,로그인으로 돌아가기
nav.signin,Sign In,로그인
nav.signup,Get Started,시작하기
auth.logout,Sign Out,로그아웃
profile.title,Profile Settings,프로필 설정
profile.subtitle,Manage your account settings and preferences,계정 설정 및 환경설정을 관리하세요
profile.nav.account,Account,계정
profile.nav.security,Security,보안
profile.section.personal,Personal Information,개인 정보
profile.field.fullname,Full Name,이름
profile.field.email,Email Address,이메일 주소
profile.field.email-note,Email is managed by your Google account and cannot be changed here.,이메일은 Google 계정에서 관리되며 여기서 변경할 수 없습니다.
common.button.edit,Edit,수정
common.button.save,Save,저장
profile.section.danger,Danger Zone,위험 구역
profile.danger.desc,Permanently delete your account and all of your content.,계정과 모든 콘텐츠를 영구적으로 삭제합니다.
profile.danger.delete,Delete Account,계정 삭제
profile.danger.deleting,Deleting...,삭제 중...
profile.member-since,Member since {{year}},{{year}}년부터 회원
profile.success.updated,Profile updated successfully,프로필이 성공적으로 업데이트되었습니다
profile.error.title,Failed to Load Profile,프로필 로드 실패
profile.error.description,We couldn't load your profile. Please try again.,프로필을 로드할 수 없습니다. 다시 시도해주세요.
profile.error.update-failed,Failed to update profile. Please try again.,프로필 업데이트에 실패했습니다. 다시 시도해주세요.
profile.validation.name-required,Name is required,이름은 필수입니다
profile.validation.name-min-length,Name must be at least 2 characters,이름은 최소 2자 이상이어야 합니다
profile.validation.name-max-length,Name must be 50 characters or less,이름은 50자 이하여야 합니다
profile.validation.name-empty,Please enter a valid name,유효한 이름을 입력해주세요
profile.delete.confirm-title,Delete Account,계정 삭제
profile.delete.confirm-message,Are you sure you want to delete your account? This action cannot be undone and all your portfolios will be permanently deleted.,계정을 삭제하시겠습니까? 이 작업은 취소할 수 없으며 모든 포트폴리오가 영구적으로 삭제됩니다.
profile.delete.confirm-button,Delete My Account,내 계정 삭제
profile.success.deleted,Account deleted successfully. Redirecting...,계정이 성공적으로 삭제되었습니다. 리디렉션 중...
profile.error.delete-failed,Failed to delete account. Please try again.,계정 삭제에 실패했습니다. 다시 시도해주세요.
common.button.saving,Saving...,저장 중...
howitworks.section-header,3 Simple Steps,3가지 간단한 단계
howitworks.step-badge.one,Step 1,1단계
howitworks.step-badge.two,Step 2,2단계
howitworks.step-badge.three,Step 3,3단계
howitworks.timeline-complete,Ready?,준비됐나요?
howitworks.timeline-complete-sub,Get started in seconds,몇 초 만에 시작하세요
cta.feature-count,Core Features,핵심 기능
cta.portfolio-count,Portfolios,포트폴리오
cta.transparency-percent,Transparent,투명함
footer.status.operational,All systems operational,모든 시스템 정상 운영 중
footer.status.error,System unavailable,시스템 사용 불가
